18:07:42 kwargs,  {'id': -1} <class 'dict'>
18:07:44 kwargs,  {'username': '123'} <class 'dict'>
18:07:48 kwargs,  {'id': 5} <class 'dict'>
18:07:48 kwargs,  {'id': 5} <class 'dict'>
18:08:25 kwargs,  {'id': 5} <class 'dict'>
18:10:19 kwargs,  {'id': 5} <class 'dict'>
18:10:19 kwargs,  {'id': 5} <class 'dict'>
18:10:27 kwargs,  {'id': 5} <class 'dict'>
18:11:01 kwargs,  {'id': 3} <class 'dict'>
18:11:01 kwargs,  {'blog_id': 3} <class 'dict'>
18:11:30 kwargs,  {'id': 3} <class 'dict'>
18:11:30 kwargs,  {'blog_id': 3} <class 'dict'>
18:11:30 kwargs,  {'id': 5} <class 'dict'>
18:19:28 kwargs,  {'id': 3} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'blog_id': 3} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'id': 0} <class 'dict'>
18:19:28 kwargs,  {'id': 5} <class 'dict'>
18:19:36 kwargs,  {'id': 1} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'blog_id': 1} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'id': 0} <class 'dict'>
18:19:36 kwargs,  {'id': 5} <class 'dict'>
18:20:12 kwargs,  {'id': 5} <class 'dict'>
18:20:12 kwargs,  {'id': 5} <class 'dict'>
18:20:12 kwargs,  {'id': 1} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'blog_id': 1} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'id': 0} <class 'dict'>
18:20:12 kwargs,  {'id': 5} <class 'dict'>
18:20:17 kwargs,  {'id': 1} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'blog_id': 1} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'id': 0} <class 'dict'>
18:20:17 kwargs,  {'id': 5} <class 'dict'>
18:20:26 kwargs,  {'id': 5} <class 'dict'>
18:20:26 kwargs,  {'id': 5} <class 'dict'>
18:20:26 kwargs,  {'id': 1} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'blog_id': 1} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'id': 0} <class 'dict'>
18:20:26 kwargs,  {'id': 5} <class 'dict'>
18:20:29 kwargs,  {'id': 1} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'blog_id': 1} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'id': 0} <class 'dict'>
18:20:29 kwargs,  {'id': 5} <class 'dict'>
18:22:19 kwargs,  {'id': 5} <class 'dict'>
18:22:19 kwargs,  {'id': 0} <class 'dict'>
18:22:19 kwargs,  {'id': 0} <class 'dict'>
18:22:19 kwargs,  {'id': 0} <class 'dict'>
